periode;jumlah_pengguna
Q1 2010;84.3
Q2 2010;87.2
Q3 2010;90.5
Q4 2010;94.4
Q1 2011;97.7
Q2 2011;100.3
Q3 2011;103.0
Q4 2011;106.3
Q1 2012;109.8
Q2 2012;113.2
Q3 2012;117.4
Q4 2012;122.7
Q1 2013;127.7
Q2 2013;132.4
Q3 2013;137.4
Q4 2013;142.6
Q1 2014;148.4
Q2 2014;152.5
Q3 2014;156.9
Q4 2014;161.5
Q1 2015;165.2
Q2 2015;169
Q3 2015;173
Q4 2015;179
Q1 2016;184
Q2 2016;188
Q3 2016;192
Q4 2016;197
Q1 2017;205
Q2 2017;212
Q3 2017;220
Q4 2017;229
Q1 2018;237
Q2 2018;244
Q3 2018;254
Q4 2018;267
Q1 2019;277
Q2 2019;286
Q3 2019;295
Q4 2019;305
Q1 2020;325
Q2 2020;346
Q3 2020;361
Q4 2020;377
Q1 2021;392
Q2 2021;403
Q3 2021;416
Q4 2021;426
Q1 2022;429
